id,age_min,age_max,raw_min,raw_max,standard,percentile
vsp,13,14,67,68,17,99
vsp,13,14,69,70,18,100
vsp,13,14,71,inf,19,100

fc,13,14,0,0,3,1
fc,13,14,1,2,4,2
fc,13,14,3,3,5,3
fc,13,14,4,5,6,9
fc,13,14,6,7,7,16
fc,13,14,8,9,8,25
fc,13,14,10,11,9,37
fc,13,14,12,13,10,50
fc,13,14,14,15,11,63
fc,13,14,16,16,12,75
fc,13,14,17,17,13,84
fc,13,14,18,18,14,91
fc,13,14,19,inf,15,95

co,14,15,0,4,1,0
co,14,15,5,6,2,0
co,14,15,7,8,3,1
co,14,15,9,9,4,2
co,14,15,10,11,5,3
co,14,15,12,13,6,9
co,14,15,14,15,7,16
co,14,15,16,17,8,25
co,14,15,18,18,9,37
co,14,15,19,20,10,50
co,14,15,21,22,11,63
co,14,15,23,23,12,75
co,14,15,24,25,13,84
co,14,15,26,26,14,91
co,14,15,27,27,15,95
co,14,15,28,28,16,98
co,14,15,29,29,17,99
co,14,15,30,30,18,100
co,14,15,31,31,19,100
co,14,15,32,inf,20,100

fg,14,15,0,0,2,0
fg,14,15,1,1,3,1
fg,14,15,2,2,4,2
fg,14,15,3,3,5,3
fg,14,15,4,4,6,9
fg,14,15,5,5,7,16
fg,14,15,6,6,8,25
fg,14,15,7,7,9,37
fg,14,15,8,8,10,50
fg,14,15,9,9,11,63
fg,14,15,10,10,12,75
fg,14,15,11,11,13,84
fg,14,15,12,12,14,91
fg,14,15,13,13,15,95
fg,14,15,14,inf,16,98

vse,14,15,90,inf,1,0
vse,14,15,74,89,2,0
vse,14,15,63,73,3,1
vse,14,15,55,62,4,2
vse,14,15,49,54,5,3
vse,14,15,45,48,6,9
vse,14,15,42,44,7,16
vse,14,15,39,41,8,25
vse,14,15,36,38,9,37
vse,14,15,33,35,10,50
vse,14,15,30,32,11,63
vse,14,15,28,29,12,75
vse,14,15,27,27,13,84
vse,14,15,25,26,14,91
vse,14,15,24,24,15,95
vse,14,15,23,23,16,98
vse,14,15,22,22,17,99
vse,14,15,21,21,18,100
vse,14,15,20,20,19,100
vse,14,15,0,19,20,100

vc,14,15,0,5,1,0
vc,14,15,6,6,2,0
vc,14,15,7,7,3,1
vc,14,15,8,8,4,2
vc,14,15,9,9,5,3
vc,14,15,10,10,6,9
vc,14,15,11,11,7,16
vc,14,15,12,12,8,25
vc,14,15,13,13,9,37
vc,14,15,14,14,10,50
vc,14,15,15,15,11,63
vc,14,15,16,inf,12,75

vsp,14,15,0,15,1,0
vsp,14,15,16,18,2,0
vsp,14,15,19,22,3,1
vsp,14,15,23,25,4,2
vsp,14,15,26,29,5,3
vsp,14,15,30,33,6,9
vsp,14,15,34,37,7,16
vsp,14,15,38,40,8,25
vsp,14,15,41,44,9,37
vsp,14,15,45,48,10,50
vsp,14,15,49,52,11,63
vsp,14,15,53,56,12,75
vsp,14,15,57,59,13,84
vsp,14,15,60,62,14,91
vsp,14,15,63,66,15,95
vsp,14,15,67,68,16,98
vsp,14,15,69,70,17,99
vsp,14,15,71,inf,18,100

fc,14,15,0,0,3,1
fc,14,15,1,2,4,2
fc,14,15,3,3,5,3
fc,14,15,4,5,6,9
fc,14,15,6,7,7,16
fc,14,15,8,9,8,25
fc,14,15,10,11,9,37
fc,14,15,12,13,10,50
fc,14,15,14,15,11,63
fc,14,15,16,16,12,75
fc,14,15,17,17,13,84
fc,14,15,18,18,14,91
fc,14,15,19,inf,15,95

co,15,16,0,4,1,0
co,15,16,5,6,2,0
co,15,16,7,8,3,1
co,15,16,9,9,4,2
co,15,16,10,11,5,3
co,15,16,12,13,6,9
co,15,16,14,15,7,16
co,15,16,16,17,8,25
co,15,16,18,18,9,37
co,15,16,19,20,10,50
co,15,16,21,22,11,63
co,15,16,23,23,12,75
co,15,16,24,25,13,84
co,15,16,26,26,14,91
co,15,16,27,27,15,95
co,15,16,28,28,16,98
co,15,16,29,29,17,99
co,15,16,30,30,18,100
co,15,16,31,31,19,100
co,15,16,32,inf,20,100

fg,15,16,0,0,2,0
fg,15,16,1,1,3,1
fg,15,16,2,2,4,2
fg,15,16,3,3,5,3
fg,15,16,4,4,6,9
fg,15,16,5,5,7,16
fg,15,16,6,6,8,25
fg,15,16,7,7,9,37
fg,15,16,8,8,10,50
fg,15,16,9,9,11,63
fg,15,16,10,10,12,75
fg,15,16,11,11,13,84
fg,15,16,12,12,14,91
fg,15,16,13,13,15,95
fg,15,16,14,inf,16,98

vse,15,16,74,inf,1,0
vse,15,16,65,73,2,0
vse,15,16,55,64,3,1
vse,15,16,49,54,4,2
vse,15,16,45,48,5,3
vse,15,16,42,44,6,9
vse,15,16,39,41,7,16
vse,15,16,36,38,8,25
vse,15,16,33,35,9,37
vse,15,16,31,32,10,50
vse,15,16,29,30,11,63
vse,15,16,27,28,12,75
vse,15,16,25,26,13,84
vse,15,16,24,24,14,91
vse,15,16,23,23,15,95
vse,15,16,22,22,16,98
vse,15,16,21,21,17,99
vse,15,16,20,20,18,100
vse,15,16,19,19,19,100
vse,15,16,0,18,20,100

vc,15,16,0,5,1,0
vc,15,16,6,6,2,0
vc,15,16,7,7,3,1
vc,15,16,8,8,4,2
vc,15,16,9,9,5,3
vc,15,16,10,10,6,9
vc,15,16,11,11,7,16
vc,15,16,12,12,8,25
vc,15,16,13,13,9,37
vc,15,16,14,14,10,50
vc,15,16,15,15,11,63
vc,15,16,16,inf,12,75

vsp,15,16,0,16,1,0
vsp,15,16,17,19,2,0
vsp,15,16,20,23,3,1
vsp,15,16,24,26,4,2
vsp,15,16,27,30,5,3
vsp,15,16,31,34,6,9
vsp,15,16,35,38,7,16
vsp,15,16,39,42,8,25
vsp,15,16,43,46,9,37
vsp,15,16,47,50,10,50
vsp,15,16,51,54,11,63
vsp,15,16,55,58,12,75
vsp,15,16,59,61,13,84
vsp,15,16,62,64,14,91
vsp,15,16,65,68,15,95
vsp,15,16,69,70,16,98
vsp,15,16,71,inf,17,99

fc,15,16,0,0,1,0
fc,15,16,1,2,2,0
fc,15,16,3,3,3,1
fc,15,16,4,5,4,2
fc,15,16,6,7,5,3
fc,15,16,8,9,6,9
fc,15,16,10,11,7,16
fc,15,16,12,13,8,25
fc,15,16,14,15,9,37
fc,15,16,16,16,10,50
fc,15,16,17,17,11,63
fc,15,16,18,18,12,75
fc,15,16,19,inf,13,84

co,16,17,0,5,1,0
co,16,17,6,7,2,0
co,16,17,8,9,3,1
co,16,17,10,11,4,2
co,16,17,12,12,5,3
co,16,17,13,14,6,9
co,16,17,15,16,7,16
co,16,17,17,18,8,25
co,16,17,19,19,9,37
co,16,17,20,21,10,50
co,16,17,22,23,11,63
co,16,17,24,24,12,75
co,16,17,25,26,13,84
co,16,17,27,27,14,91
co,16,17,28,28,15,95
co,16,17,29,29,16,98
co,16,17,30,30,17,99
co,16,17,31,31,18,100
co,16,17,32,32,19,100
co,16,17,33,inf,20,100

fg,16,17,0,0,2,0
fg,16,17,1,1,3,1
fg,16,17,2,2,4,2
fg,16,17,3,3,5,3
fg,16,17,4,4,6,9
fg,16,17,5,5,7,16
fg,16,17,6,6,8,25
fg,16,17,7,7,9,37
fg,16,17,8,8,10,50
fg,16,17,9,9,11,63
fg,16,17,10,10,12,75
fg,16,17,11,11,13,84
fg,16,17,12,12,14,91
fg,16,17,13,13,15,95
fg,16,17,14,inf,16,98

vse,16,17,65,inf,1,0
vse,16,17,55,64,2,0
vse,16,17,51,54,3,1
vse,16,17,47,50,4,2
vse,16,17,43,46,5,3
vse,16,17,39,42,6,9
vse,16,17,36,38,7,16
vse,16,17,34,35,8,25
vse,16,17,32,33,9,37
vse,16,17,30,31,10,50
vse,16,17,27,29,11,63
vse,16,17,26,26,12,75
vse,16,17,24,25,13,84
vse,16,17,23,23,14,91
vse,16,17,22,22,15,95
vse,16,17,21,21,16,98
vse,16,17,20,20,17,99
vse,16,17,19,19,18,100
vse,16,17,18,18,19,100
vse,16,17,0,17,20,100

vc,16,17,0,5,1,0
vc,16,17,6,6,2,0
vc,16,17,7,7,3,1
vc,16,17,8,8,4,2
vc,16,17,9,9,5,3
vc,16,17,10,10,6,9
vc,16,17,11,11,7,16
vc,16,17,12,12,8,25
vc,16,17,13,13,9,37
vc,16,17,14,14,10,50
vc,16,17,15,15,11,63
vc,16,17,16,inf,12,75

vsp,16,17,0,16,1,0
vsp,16,17,17,20,2,0
vsp,16,17,21,23,3,1
vsp,16,17,24,27,4,2
vsp,16,17,28,31,5,3
vsp,16,17,32,34,6,9
vsp,16,17,35,39,7,16
vsp,16,17,40,43,8,25
vsp,16,17,44,47,9,37
vsp,16,17,48,51,10,50
vsp,16,17,52,55,11,63
vsp,16,17,56,59,12,75
vsp,16,17,60,62,13,84
vsp,16,17,63,66,14,91
vsp,16,17,67,69,15,95
vsp,16,17,70,inf,16,98

fc,16,17,0,1,3,1
fc,16,17,2,3,4,2
fc,16,17,4,5,5,3
fc,16,17,6,7,6,9
fc,16,17,8,9,7,16
fc,16,17,10,10,8,25
fc,16,17,11,12,9,37
fc,16,17,13,14,10,50
fc,16,17,15,15,11,63
fc,16,17,16,17,12,75
fc,16,17,18,18,13,84
fc,16,17,19,inf,14,91

co,17,18,0,6,1,0
co,17,18,7,8,2,0
co,17,18,9,10,3,1
co,17,18,11,12,4,2
co,17,18,13,13,5,3
co,17,18,14,15,6,9
co,17,18,16,17,7,16
co,17,18,18,19,8,25
co,17,18,20,20,9,37
co,17,18,21,22,10,50
co,17,18,23,23,11,63
co,17,18,24,25,12,75
co,17,18,26,26,13,84
co,17,18,27,28,14,91
co,17,18,29,29,15,95
co,17,18,30,30,16,98
co,17,18,31,31,17,99
co,17,18,32,32,18,100
co,17,18,33,33,19,100
co,17,18,34,inf,20,100

fg,17,18,0,0,1,0
fg,17,18,1,1,2,0
fg,17,18,2,2,3,1
fg,17,18,3,3,4,2
fg,17,18,4,4,5,3
fg,17,18,5,5,6,9
fg,17,18,6,6,7,16
fg,17,18,7,7,8,25
fg,17,18,8,8,9,37
fg,17,18,9,9,10,50
fg,17,18,10,10,11,63
fg,17,18,11,11,12,75
fg,17,18,12,12,13,84
fg,17,18,13,13,14,91
fg,17,18,14,inf,15,95

vse,17,18,60,inf,1,0
vse,17,18,54,59,2,0
vse,17,18,50,53,3,1
vse,17,18,46,49,4,2
vse,17,18,42,45,5,3
vse,17,18,37,41,6,9
vse,17,18,35,36,7,16
vse,17,18,33,34,8,25
vse,17,18,31,32,9,37
vse,17,18,29,30,10,50
vse,17,18,27,28,11,63
vse,17,18,25,26,12,75
vse,17,18,24,24,13,84
vse,17,18,22,23,14,91
vse,17,18,21,21,15,95
vse,17,18,20,20,16,98
vse,17,18,19,19,17,99
vse,17,18,18,18,18,100
vse,17,18,17,17,19,100
vse,17,18,0,16,20,100

vc,17,18,0,6,1,0
vc,17,18,7,7,2,0
vc,17,18,8,8,3,1
vc,17,18,9,9,4,2
vc,17,18,10,10,5,3
vc,17,18,11,11,6,9
vc,17,18,12,12,7,16
vc,17,18,13,13,8,25
vc,17,18,14,14,9,37
vc,17,18,15,15,10,50
vc,17,18,16,inf,11,63

vsp,17,18,0,17,1,0
vsp,17,18,18,20,2,0
vsp,17,18,21,23,3,1
vsp,17,18,24,27,4,2
vsp,17,18,28,31,5,3
vsp,17,18,32,35,6,9
vsp,17,18,36,39,7,16
vsp,17,18,40,43,8,25
vsp,17,18,44,48,9,37
vsp,17,18,49,52,10,50
vsp,17,18,53,56,11,63
vsp,17,18,57,60,12,75
vsp,17,18,61,63,13,84
vsp,17,18,64,67,14,91
vsp,17,18,68,69,15,95
vsp,17,18,70,inf,16,98

fc,17,18,0,1,3,1
fc,17,18,2,3,4,2
fc,17,18,4,5,5,3
fc,17,18,6,7,6,9
fc,17,18,8,9,7,16
fc,17,18,10,10,8,25
fc,17,18,11,12,9,37
fc,17,18,13,14,10,50
fc,17,18,15,15,11,63
fc,17,18,16,17,12,75
fc,17,18,18,18,13,84
fc,17,18,19,inf,14,91
