id,age_min,age_max,raw_min,raw_max,standard,rank
hg2,11,12,28,30,13,0
hg2,11,12,31,34,12,0
hg2,11,12,35,38,11,0
hg2,11,12,39,42,10,0
hg2,11,12,43,44,9,0
hg2,11,12,45,47,8,0
hg2,11,12,48,53,7,0
hg2,11,12,54,59,6,1
hg2,11,12,60,66,5,2
hg2,11,12,67,91,4,2
hg2,11,12,92,inf,1,2

hg2,12,13,0,21,17,0
hg2,12,13,22,22,15,0
hg2,12,13,23,26,14,0
hg2,12,13,27,27,13,0
hg2,12,13,28,29,12,0
hg2,12,13,30,34,11,0
hg2,12,13,35,40,10,0
hg2,12,13,41,42,9,0
hg2,12,13,43,44,8,0
hg2,12,13,45,47,7,0
hg2,12,13,48,51,6,1
hg2,12,13,52,62,5,2
hg2,12,13,63,68,4,2
hg2,12,13,69,70,3,2
hg2,12,13,71,inf,1,2

hg2,13,14,0,19,17,0
hg2,13,14,20,21,16,0
hg2,13,14,22,22,15,0
hg2,13,14,23,25,14,0
hg2,13,14,26,27,13,0
hg2,13,14,28,29,12,0
hg2,13,14,30,34,11,0
hg2,13,14,35,38,10,0
hg2,13,14,39,40,9,0
hg2,13,14,41,44,8,0
hg2,13,14,45,47,7,0
hg2,13,14,48,51,6,1
hg2,13,14,52,60,5,2
hg2,13,14,61,62,4,2
hg2,13,14,63,64,3,2
hg2,13,14,65,inf,1,2

hg2,14,15,0,19,17,0
hg2,14,15,20,21,16,0
hg2,14,15,22,22,15,0
hg2,14,15,23,23,14,0
hg2,14,15,24,24,13,0
hg2,14,15,25,27,12,0
hg2,14,15,28,29,11,0
hg2,14,15,30,36,10,0
hg2,14,15,37,38,9,0
hg2,14,15,39,41,8,0
hg2,14,15,42,47,7,0
hg2,14,15,48,51,6,1
hg2,14,15,52,58,5,2
hg2,14,15,59,60,4,2
hg2,14,15,61,64,3,2
hg2,14,15,65,inf,1,2

hg2,15,16,0,20,16,0
hg2,15,16,21,21,15,0
hg2,15,16,22,23,14,0
hg2,15,16,24,24,13,0
hg2,15,16,25,27,12,0
hg2,15,16,28,29,11,0
hg2,15,16,30,32,10,0
hg2,15,16,33,34,9,0
hg2,15,16,35,36,8,0
hg2,15,16,37,38,7,0
hg2,15,16,39,49,6,1
hg2,15,16,50,58,5,2
hg2,15,16,59,60,4,2
hg2,15,16,61,64,3,2
hg2,15,16,65,inf,1,2

hg3,5,6,0,1,11,0
hg3,5,6,2,2,9,0
hg3,5,6,3,3,4,2
hg3,5,6,4,4,3,2
hg3,5,6,5,inf,1,2

hg3,6,7,0,0,11,0
hg3,6,7,1,1,7,0
hg3,6,7,2,2,3,2
hg3,6,7,3,inf,1,2

hg3,7,8,0,0,12,0
hg3,7,8,1,1,10,0
hg3,7,8,2,2,8,0
hg3,7,8,3,3,5,2
hg3,7,8,4,4,3,2
hg3,7,8,5,5,2,2
hg3,7,8,6,inf,1,2

hg3,8,9,0,0,12,0
hg3,8,9,1,1,6,1
hg3,8,9,2,2,5,2
hg3,8,9,3,3,4,2
hg3,8,9,4,inf,1,2

hg3,9,10,0,0,11,0
hg3,9,10,1,1,6,1
hg3,9,10,2,2,4,2
hg3,9,10,3,3,3,2
hg3,9,10,4,inf,1,2

hg3,10,11,0,0,11,0
hg3,10,11,1,1,6,1
hg3,10,11,2,2,4,2
hg3,10,11,3,3,3,2
hg3,10,11,4,inf,1,2

hg3,11,12,0,0,13,0
hg3,11,12,1,1,10,0
hg3,11,12,2,3,8,0
hg3,11,12,4,4,7,0
hg3,11,12,5,5,6,1
hg3,11,12,6,6,5,2
hg3,11,12,7,9,4,2
hg3,11,12,10,10,3,2
hg3,11,12,11,inf,1,2

hg3,12,13,0,0,13,0
hg3,12,13,1,1,9,0
hg3,12,13,2,2,8,0
hg3,12,13,3,3,7,0
hg3,12,13,4,4,6,0
hg3,12,13,5,5,5,0
hg3,12,13,6,10,3,2
hg3,12,13,11,inf,1,2

hg3,13,14,0,0,13,0
hg3,13,14,1,1,9,0
hg3,13,14,2,3,7,0
hg3,13,14,4,4,6,1
hg3,13,14,5,5,5,2
hg3,13,14,6,7,3,2
hg3,13,14,8,inf,1,2

hg3,14,15,0,0,12,0
hg3,14,15,1,1,8,0
hg3,14,15,2,2,7,0
hg3,14,15,3,3,4,2
hg3,14,15,4,inf,1,2

hg3,15,16,0,0,12,0
hg3,15,16,1,2,7,0
hg3,15,16,3,3,4,2
hg3,15,16,4,inf,1,2

bf1,5,6,10,inf,16,0
bf1,5,6,9,9,12,0
bf1,5,6,8,8,10,0
bf1,5,6,6,7,9,0
bf1,5,6,4,5,8,0
bf1,5,6,2,3,7,0
bf1,5,6,0,1,5,2

bf1,6,7,10,inf,14,0
bf1,6,7,9,9,9,0
bf1,6,7,8,8,8,0
bf1,6,7,6,7,7,0
bf1,6,7,5,5,6,1
bf1,6,7,4,4,5,2
