id,age_min_y,age_min_m,age_max_y,age_max_m,raw_min,raw_max,scaled,percentile
fc,4,6,4,8,40,41,19,100
fc,4,6,4,8,42,inf,20,100

eh,4,9,4,11,0,34,1,0
eh,4,9,4,11,35,46,2,0
eh,4,9,4,11,47,58,3,1
eh,4,9,4,11,59,68,4,2
eh,4,9,4,11,69,79,5,5
eh,4,9,4,11,80,89,6,9
eh,4,9,4,11,90,99,7,16
eh,4,9,4,11,100,110,8,25
eh,4,9,4,11,111,120,9,37
eh,4,9,4,11,121,130,10,50
eh,4,9,4,11,131,139,11,63
eh,4,9,4,11,140,147,12,75
eh,4,9,4,11,148,155,13,84
eh,4,9,4,11,156,163,14,91
eh,4,9,4,11,164,169,15,95
eh,4,9,4,11,170,175,16,98
eh,4,9,4,11,176,181,17,99
eh,4,9,4,11,182,188,18,100
eh,4,9,4,11,189,189,19,100
eh,4,9,4,11,190,inf,20,100

co,4,9,4,11,0,1,2,0
co,4,9,4,11,2,2,3,1
co,4,9,4,11,3,3,4,2
co,4,9,4,11,4,4,5,5
co,4,9,4,11,5,6,6,9
co,4,9,4,11,7,7,7,16
co,4,9,4,11,8,9,8,25
co,4,9,4,11,10,11,9,37
co,4,9,4,11,12,12,10,50
co,4,9,4,11,13,14,11,63
co,4,9,4,11,15,16,12,75
co,4,9,4,11,17,17,13,84
co,4,9,4,11,18,19,14,91
co,4,9,4,11,20,21,15,95
co,4,9,4,11,22,22,16,98
co,4,9,4,11,23,24,17,99
co,4,9,4,11,25,26,18,100
co,4,9,4,11,27,28,19,100
co,4,9,4,11,29,inf,20,100

fg,4,9,4,11,0,1,1,0
fg,4,9,4,11,2,5,2,0
fg,4,9,4,11,6,10,3,1
fg,4,9,4,11,11,13,4,2
fg,4,9,4,11,14,17,5,5
fg,4,9,4,11,18,20,6,9
fg,4,9,4,11,21,23,7,16
fg,4,9,4,11,24,27,8,25
fg,4,9,4,11,28,30,9,37
fg,4,9,4,11,31,34,10,50
fg,4,9,4,11,35,38,11,63
fg,4,9,4,11,39,41,12,75
fg,4,9,4,11,42,45,13,84
fg,4,9,4,11,46,49,14,91
fg,4,9,4,11,50,52,15,95
fg,4,9,4,11,53,56,16,98
fg,4,9,4,11,57,60,17,99
fg,4,9,4,11,61,64,18,100
fg,4,9,4,11,65,67,19,100
fg,4,9,4,11,68,inf,20,100

vc,4,9,4,11,0,1,3,1
vc,4,9,4,11,2,2,4,2
vc,4,9,4,11,3,3,5,5
vc,4,9,4,11,4,4,6,9
vc,4,9,4,11,5,5,7,16
vc,4,9,4,11,6,6,8,25
vc,4,9,4,11,7,7,9,37
vc,4,9,4,11,8,8,10,50
vc,4,9,4,11,9,9,11,63
vc,4,9,4,11,10,10,12,75
vc,4,9,4,11,11,11,13,84
vc,4,9,4,11,12,12,14,91
vc,4,9,4,11,13,13,15,95
vc,4,9,4,11,14,14,16,98
vc,4,9,4,11,15,15,17,99
vc,4,9,4,11,16,16,18,100
vc,4,9,4,11,17,17,19,100
vc,4,9,4,11,18,inf,20,100

fc,4,9,4,11,0,9,1,0
fc,4,9,4,11,10,11,2,0
fc,4,9,4,11,12,14,3,1
fc,4,9,4,11,15,16,4,2
fc,4,9,4,11,17,19,5,5
fc,4,9,4,11,20,21,6,9
fc,4,9,4,11,22,23,7,16
fc,4,9,4,11,24,25,8,25
fc,4,9,4,11,26,27,9,37
fc,4,9,4,11,28,28,10,50
fc,4,9,4,11,29,30,11,63
fc,4,9,4,11,31,32,12,75
fc,4,9,4,11,33,33,13,84
fc,4,9,4,11,34,35,14,91
fc,4,9,4,11,36,36,15,95
fc,4,9,4,11,37,38,16,98
fc,4,9,4,11,39,39,17,99
fc,4,9,4,11,40,41,18,100
fc,4,9,4,11,42,42,19,100
fc,4,9,4,11,43,inf,20,100

eh,5,0,5,2,0,43,1,0
eh,5,0,5,2,44,55,2,0
eh,5,0,5,2,56,67,3,1
eh,5,0,5,2,68,77,4,2
eh,5,0,5,2,78,87,5,5
eh,5,0,5,2,88,97,6,9
eh,5,0,5,2,98,108,7,16
eh,5,0,5,2,109,118,8,25
eh,5,0,5,2,119,128,9,37
eh,5,0,5,2,129,138,10,50
eh,5,0,5,2,139,147,11,63
eh,5,0,5,2,148,155,12,75
eh,5,0,5,2,156,163,13,84
eh,5,0,5,2,164,170,14,91
eh,5,0,5,2,171,176,15,95
eh,5,0,5,2,177,181,16,98
eh,5,0,5,2,182,188,17,99
eh,5,0,5,2,189,189,18,100
eh,5,0,5,2,190,190,19,100
eh,5,0,5,2,191,inf,20,100

co,5,0,5,2,0,1,1,0
co,5,0,5,2,2,2,2,0
co,5,0,5,2,3,3,3,1
co,5,0,5,2,4,4,4,2
co,5,0,5,2,5,5,5,5
co,5,0,5,2,6,7,6,9
co,5,0,5,2,8,9,7,16
co,5,0,5,2,10,10,8,25
co,5,0,5,2,11,12,9,37
co,5,0,5,2,13,14,10,50
co,5,0,5,2,15,16,11,63
co,5,0,5,2,17,17,12,75
co,5,0,5,2,18,19,13,84
co,5,0,5,2,20,21,14,91
co,5,0,5,2,22,22,15,95
co,5,0,5,2,23,24,16,98
co,5,0,5,2,25,26,17,99
co,5,0,5,2,27,28,18,100
co,5,0,5,2,29,29,19,100
co,5,0,5,2,30,inf,20,100

fg,5,0,5,2,0,2,1,0
fg,5,0,5,2,3,6,2,0
fg,5,0,5,2,7,10,3,1
fg,5,0,5,2,11,14,4,2
fg,5,0,5,2,15,18,5,5
fg,5,0,5,2,19,22,6,9
fg,5,0,5,2,23,25,7,16
fg,5,0,5,2,26,29,8,25
fg,5,0,5,2,30,33,9,37
fg,5,0,5,2,34,36,10,50
fg,5,0,5,2,37,40,11,63
fg,5,0,5,2,41,44,12,75
fg,5,0,5,2,45,47,13,84
fg,5,0,5,2,48,51,14,91
fg,5,0,5,2,52,54,15,95
fg,5,0,5,2,55,58,16,98
fg,5,0,5,2,59,61,17,99
fg,5,0,5,2,62,65,18,100
fg,5,0,5,2,66,67,19,100
fg,5,0,5,2,68,inf,20,100

vc,5,0,5,2,0,1,3,1
vc,5,0,5,2,2,2,4,2
vc,5,0,5,2,3,3,5,5
vc,5,0,5,2,4,4,6,9
vc,5,0,5,2,5,5,7,16
vc,5,0,5,2,6,6,8,25
vc,5,0,5,2,7,7,9,37
vc,5,0,5,2,8,8,10,50
vc,5,0,5,2,9,9,11,63
vc,5,0,5,2,10,10,12,75
vc,5,0,5,2,11,11,13,84
vc,5,0,5,2,12,12,14,91
vc,5,0,5,2,13,13,15,95
vc,5,0,5,2,14,15,16,98
vc,5,0,5,2,16,16,17,99
vc,5,0,5,2,17,17,18,100
vc,5,0,5,2,18,18,19,100
vc,5,0,5,2,19,inf,20,100

fc,5,0,5,2,0,10,1,0
fc,5,0,5,2,11,13,2,0
fc,5,0,5,2,14,15,3,1
fc,5,0,5,2,16,17,4,2
fc,5,0,5,2,18,20,5,5
fc,5,0,5,2,21,22,6,9
fc,5,0,5,2,23,24,7,16
fc,5,0,5,2,25,26,8,25
fc,5,0,5,2,27,28,9,37
fc,5,0,5,2,29,29,10,50
fc,5,0,5,2,30,31,11,63
fc,5,0,5,2,32,33,12,75
fc,5,0,5,2,34,35,13,84
fc,5,0,5,2,36,36,14,91
fc,5,0,5,2,37,38,15,95
fc,5,0,5,2,39,39,16,98
fc,5,0,5,2,40,41,17,99
fc,5,0,5,2,42,42,18,100
fc,5,0,5,2,43,44,19,100
fc,5,0,5,2,45,inf,20,100

eh,5,3,5,5,0,52,1,0
eh,5,3,5,5,53,64,2,0
eh,5,3,5,5,65,75,3,1
eh,5,3,5,5,76,86,4,2
eh,5,3,5,5,87,96,5,5
eh,5,3,5,5,97,105,6,9
eh,5,3,5,5,106,116,7,16
eh,5,3,5,5,117,126,8,25
eh,5,3,5,5,127,136,9,37
eh,5,3,5,5,137,146,10,50
eh,5,3,5,5,147,155,11,63
eh,5,3,5,5,156,163,12,75
eh,5,3,5,5,164,170,13,84
eh,5,3,5,5,171,176,14,91
eh,5,3,5,5,177,181,15,95
eh,5,3,5,5,182,188,16,98
eh,5,3,5,5,189,189,17,99
eh,5,3,5,5,190,190,18,100
eh,5,3,5,5,191,191,19,100
eh,5,3,5,5,192,inf,20,100

co,5,3,5,5,0,2,1,0
co,5,3,5,5,3,3,2,0
co,5,3,5,5,4,4,3,1
co,5,3,5,5,5,5,4,2
co,5,3,5,5,6,7,5,5
co,5,3,5,5,8,8,6,9
co,5,3,5,5,9,10,7,16
co,5,3,5,5,11,12,8,25
co,5,3,5,5,13,13,9,37
co,5,3,5,5,14,15,10,50
co,5,3,5,5,16,17,11,63
co,5,3,5,5,18,19,12,75
co,5,3,5,5,20,21,13,84
co,5,3,5,5,22,22,14,91
co,5,3,5,5,23,24,15,95
co,5,3,5,5,25,26,16,98
co,5,3,5,5,27,28,17,99
co,5,3,5,5,29,29,18,100
co,5,3,5,5,30,31,19,100
co,5,3,5,5,32,inf,20,100

fg,5,3,5,5,0,2,1,0
fg,5,3,5,5,3,6,2,0
fg,5,3,5,5,7,11,3,1
fg,5,3,5,5,12,15,4,2
fg,5,3,5,5,16,19,5,5
fg,5,3,5,5,20,23,6,9
fg,5,3,5,5,24,27,7,16
fg,5,3,5,5,28,31,8,25
fg,5,3,5,5,32,35,9,37
fg,5,3,5,5,36,39,10,50
fg,5,3,5,5,40,42,11,63
fg,5,3,5,5,43,46,12,75
fg,5,3,5,5,47,49,13,84
fg,5,3,5,5,50,53,14,91
fg,5,3,5,5,54,56,15,95
fg,5,3,5,5,57,59,16,98
fg,5,3,5,5,60,62,17,99
fg,5,3,5,5,63,65,18,100
fg,5,3,5,5,66,67,19,100
fg,5,3,5,5,68,inf,20,100

vc,5,3,5,5,0,1,2,0
vc,5,3,5,5,2,2,3,1
vc,5,3,5,5,3,3,4,2
vc,5,3,5,5,4,4,5,5
vc,5,3,5,5,5,5,6,9
vc,5,3,5,5,6,6,7,16
vc,5,3,5,5,7,7,8,25
vc,5,3,5,5,8,8,9,37
vc,5,3,5,5,9,9,10,50
vc,5,3,5,5,10,10,11,63
vc,5,3,5,5,11,11,12,75
vc,5,3,5,5,12,12,13,84
vc,5,3,5,5,13,13,14,91
vc,5,3,5,5,14,14,15,95
vc,5,3,5,5,15,15,16,98
vc,5,3,5,5,16,16,17,99
vc,5,3,5,5,17,17,18,100
vc,5,3,5,5,18,19,19,100
vc,5,3,5,5,20,inf,20,100

fc,5,3,5,5,0,11,1,0
fc,5,3,5,5,12,14,2,0
fc,5,3,5,5,15,16,3,1
fc,5,3,5,5,17,18,4,2
fc,5,3,5,5,19,20,5,5
fc,5,3,5,5,21,23,6,9
fc,5,3,5,5,24,25,7,16
fc,5,3,5,5,26,27,8,25
fc,5,3,5,5,28,28,9,37
fc,5,3,5,5,29,30,10,50
fc,5,3,5,5,31,32,11,63
fc,5,3,5,5,33,34,12,75
